# Odd Oxygen; 3 reactions
2*O + M → O2 + M    ; 2.76013E-34*exp ( 720.0/t )
O + O3 → 2*O2       ; 8.00019E-12*exp ( -2060.0/t )
O2 + O + M → O3 + M ; 6.00028E-34(300.0/T)**2.4

# Odd Oxygen (O1D); 33 reactions
CFC113 + O1D → 2*CL + COFCL + COF2 ; 2.08805E-10
CFC114 + O1D → 2*CL + 2*COF2       ; 1.17003E-10
CFC115 + O1D → CL + F + 2*COF2     ; 4.64411E-11
CFC12 + O1D → 2*CL + COF2          ; 1.20403E-10
CH2BR2 + O1D → 2*BR                ; 2.57006E-10
CH3BR + O1D → BR                   ; 1.80004E-10
CH4 + O1D → CH2O + H + HO2         ; 3.50008E-11
CH4 + O1D → CH2O + H2              ; 9.00021E-12
CH4 + O1D → CH3O2 + OH             ; 1.31003E-10
CHBR3 + O1D → 3*BR                 ; 4.62011E-10
COF2 + O1D → 2*F                   ; 2.14005E-11
H2402 + O1D → 2*BR + 2*COF2        ; 1.20003E-10
H2O + O1D → 2*OH                   ; 1.63004E-10*exp ( 60.0/t )
HCL + O1D → CL + OH                ; 9.90023E-11
HCL + O1D → CLO + H                ; 3.30008E-12
HCN + O1D → OH                     ; 1.08003E-10*exp ( 105.0/t )
N2O + O1D → 2*NO                   ; 7.26017E-11*exp ( 20.0/t )
N2O + O1D → N2 + O2                ; 4.64011E-11*exp ( 20.0/t )
O1D + CCL4 → 4*CL                  ; 2.60706E-10
O1D + CF2CLBR → CL + BR + COF2     ; 9.75023E-11
O1D + CF3BR → BR + F + COF2        ; 4.50011E-11
O1D + CFC11 → 2*CL + COFCL         ; 2.07005E-10
O1D + COFCL → F + CL               ; 1.90004E-10
O1D + H2 → H + OH                  ; 1.20003E-10
O1D + HBR → BR + OH                ; 9.00021E-11
O1D + HBR → BRO + H                ; 3.00007E-11
O1D + HCFC141B → CL + COFCL        ; 1.79404E-10
O1D + HCFC142B → CL + COF2         ; 1.30003E-10
O1D + HCFC22 → CL + COF2           ; 7.65018E-11
O1D + N2 → O + N2                  ; 2.15005E-11*exp ( 110.0/t )
O1D + O2 → O + O2                  ; 3.30008E-11*exp ( 55.0/t )
O3 + O1D → O2                      ; 1.20003E-10
O3 + O1D → O2 + 2*O                ; 1.20003E-10

# Odd Hydrogen; 176 reactions
2*HO2 + H2O + M → H2O2 + O2 + H2O + M                                                   ; 2.94021E-54*exp ( 3120.0/t )
2*HO2 + H2O → H2O2 + O2 + H2O                                                           ; 4.2002E-34*exp ( 2660.0/t )
2*HO2 + M → H2O2 + O2 + M                                                               ; 2.1001E-33*exp ( 920.0/t )
2*HO2 → H2O2 + O2                                                                       ; 3.00007E-13*exp ( 460.0/t )
2*OH → H2O + O                                                                          ; 1.80004E-12
2*OH → H2O2                                                                             ; ko=4.15537E-13(300.0/T)**1.0, ki=2.60006E-11, f=0.60
ACBZO2 + HO2 → 0*C6H5O2 + 0*OH                                                          ; 4.3001E-13*exp ( 1040.0/t )
ALKO2 + HO2 → ALKOOH                                                                    ; 7.50018E-13*exp ( 700.0/t )
BCARY + OH → BCARY + OH + BCARYO2VBS                                                    ; 2.00005E-10
BCARY + OH → TERPO2                                                                     ; 2.00005E-10
BCARYO2VBS + HO2 → HO2 + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                ; 2.75006E-13*exp ( 1300.0/t )
BENZENE + OH → 0.53*PHENOL + 0*BEPOMUC + 0.65*HO2 + 0*BENZO2                            ; 2.30005E-12*exp ( -193.0/t )
BENZENE + OH → BENZENE + OH + BENZO2VBS                                                 ; 2.30005E-12*exp ( -193.0/t )
BENZO2 + HO2 → BENZOOH                                                                  ; 7.50018E-13*exp ( 700.0/t )
BENZO2VBS + HO2 → HO2 + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                 ; 7.50018E-13*exp ( 700.0/t )
BENZOOH + OH → BENZO2                                                                   ; 3.80009E-12*exp ( 200.0/t )
BIGALK + OH → ALKO2                                                                     ; 3.50008E-12
BIGENE + OH → ENEO2                                                                     ; 5.40013E-11
BR + HO2 → HBR + O2                                                                     ; 4.80011E-12*exp ( -310.0/t )
BRO + HO2 → HOBR + O2                                                                   ; 4.50011E-12*exp ( 460.0/t )
BZALD + OH → ACBZO2                                                                     ; 5.90014E-12*exp ( 225.0/t )
BZOO + HO2 → BZOOH                                                                      ; 7.50018E-13*exp ( 700.0/t )
C2H2 + OH → 0.65*GLYOXAL + 0.65*OH + 0*HCOOH + 0*HO2 + 0*CO                             ; ko=3.31225E-12, ki=8.30019E-13(300.0/T)**-2.0, f=0.60
C2H4 + OH → EO2                                                                         ; ko=5.17916E-11(300.0/T)**3.1, ki=9.00021E-12(300.0/T)**0.85, f=0.48
C2H5O2 + HO2 → C2H5OOH + O2                                                             ; 7.50018E-13*exp ( 700.0/t )
C2H5OH + OH → HO2 + CH3CHO                                                              ; 6.90016E-12*exp ( -230.0/t )
C2H5OOH + OH → 0*C2H5O2 + 0*CH3CHO + 0*OH                                               ; 3.80009E-12*exp ( 200.0/t )
C2H6 + OH → C2H5O2 + H2O                                                                ; 7.66018E-12*exp ( -1020.0/t )
C3H7O2 + HO2 → C3H7OOH + O2                                                             ; 7.50018E-13*exp ( 700.0/t )
C3H7OOH + OH → H2O + C3H7O2                                                             ; 3.80009E-12*exp ( 200.0/t )
C6H5O2 + HO2 → C6H5OOH                                                                  ; 7.50018E-13*exp ( 700.0/t )
CH2BR2 + OH → 2*BR + H2O                                                                ; 2.00005E-12*exp ( -840.0/t )
CH2O + HO2 → HOCH2OO                                                                    ; 9.70023E-15*exp ( 625.0/t )
CH3BR + OH → BR + H2O + HO2                                                             ; 1.42003E-12*exp ( -1150.0/t )
CH3CCL3 + OH → H2O + 3*CL                                                               ; 1.64004E-12*exp ( -1520.0/t )
CH3CL + OH → CL + H2O + HO2                                                             ; 1.96005E-12*exp ( -1200.0/t )
CH3CN + OH → HO2                                                                        ; 7.80018E-13*exp ( -1050.0/t )
CH3CO3 + HO2 → 0*CH3COOOH + 0*CH3COOH + 0*O3 + 0*OH + 0*CH3O2                           ; 4.3001E-13*exp ( 1040.0/t )
CH3COCH3 + OH → RO2 + H2O                                                               ; 1.33003E-13
CH3COCH3 + OH → RO2 + H2O                                                               ; 3.82009E-11*exp ( -2000.0/t )
CH3COOOH + OH → 0*CH3CO3 + 0*CH2O + 0*CO2 + H2O                                         ; 1.00002E-12
CH3O2 + HO2 → CH3OOH + O2                                                               ; 4.1001E-13*exp ( 750.0/t )
CH3OH + OH → HO2 + CH2O                                                                 ; 2.90007E-12*exp ( -345.0/t )
CH4 + OH → CH3O2 + H2O                                                                  ; 2.45006E-12*exp ( -1775.0/t )
CHBR3 + OH → 3*BR                                                                       ; 9.00021E-13*exp ( -360.0/t )
CL + H2 → HCL + H                                                                       ; 3.05007E-11*exp ( -2270.0/t )
CL + H2O2 → HCL + HO2                                                                   ; 1.10003E-11*exp ( -980.0/t )
CL + HO2 → HCL + O2                                                                     ; 1.40003E-11*exp ( 270.0/t )
CL + HO2 → OH + CLO                                                                     ; 3.60008E-11*exp ( -375.0/t )
CLO + HO2 → O2 + HOCL                                                                   ; 2.60006E-12*exp ( 290.0/t )
CLONO2 + OH → HOCL + NO3                                                                ; 1.20003E-12*exp ( -330.0/t )
CRESOL + OH → 0*PHENO2 + 0.73*HO2 + 0*PHENO                                             ; 4.70011E-11
DICARBO2 + HO2 → 0*OH + 0*HO2 + 0*CH3COCHO + 0*CO + 0*CH3O2                             ; 4.3001E-13*exp ( 1040.0/t )
EO2 + HO2 → EOOH                                                                        ; 7.50018E-13*exp ( 700.0/t )
F + H2 → HF + H                                                                         ; 1.40003E-10*exp ( -500.0/t )
GLYOXAL + OH → HO2 + CO + CO2                                                           ; 1.15003E-11
H + HO2 → 2*OH                                                                          ; 7.20017E-11
H + HO2 → H2 + O2                                                                       ; 6.90016E-12
H + HO2 → H2O + O                                                                       ; 1.60004E-12
H + O3 → OH + O2                                                                        ; 1.40003E-10*exp ( -470.0/t )
HCL + OH → H2O + CL                                                                     ; 1.80004E-12*exp ( -250.0/t )
HCOOH + OH → HO2 + CO2 + H2O                                                            ; 4.00009E-13
HNO3 + OH → NO3 + H2O                                                                   ; ko=3.91448E-16*exp ( 1335.0/t ), ki=2.70006E-17*exp ( 2199.0/t ), f=1.00
HNO3 + OH → NO3 + H2O                                                                   ; 2.40006E-14*exp ( 460.0/t )
HO2NO2 + OH → H2O + NO2 + O2                                                            ; 4.50011E-13*exp ( 610.0/t )
HOCH2OO + HO2 → HCOOH                                                                   ; 7.50018E-13*exp ( 700.0/t )
HONITR + OH → ONITR + HO2                                                               ; 2.00005E-12
ISOP + OH → 0.6*ISOPAO2 + 0*ISOPBO2                                                     ; 2.54006E-11*exp ( 410.0/t )
ISOP + OH → ISOP + OH + ISOPO2VBS                                                       ; 2.54006E-11*exp ( 410.0/t )
ISOPAO2 + HO2 → ISOPOOH                                                                 ; 8.00019E-13*exp ( 700.0/t )
ISOPBO2 + HO2 → ISOPOOH                                                                 ; 8.00019E-13*exp ( 700.0/t )
ISOPNITB + OH → 0*HYAC + 0*GLYALD + 0*NOA + HO2 + 0*HONITR                              ; 4.00009E-11
ISOPNO3 + HO2 → ISOPNOOH                                                                ; 8.00019E-13*exp ( 700.0/t )
ISOPNOOH + OH → NOA + HO2                                                               ; 4.00009E-11
ISOPO2VBS + HO2 → HO2 + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                 ; 2.12005E-13*exp ( 1300.0/t )
IVOC + OH → OH + IVOCO2VBS                                                              ; 1.34003E-11
IVOCO2VBS + HO2 → HO2 + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                 ; 7.50018E-13*exp ( 700.0/t )
MACRO2 + HO2 → MACROOH                                                                  ; 8.00019E-13*exp ( 700.0/t )
MACROOH + OH → 0*MCO3 + 0*MACRO2 + 0*OH + 0*HO2                                         ; 2.30005E-11*exp ( 200.0/t )
MALO2 + HO2 → 0*GLYOXAL + 0*HO2 + 0*CO                                                  ; 4.3001E-13*exp ( 1040.0/t )
MCO3 + HO2 → 0*O3 + 0*CH3COOH + 0*CH3COOOH + 0*OH + 0*CO2 + 0*CH2O + 0*CH3CO3           ; 4.3001E-13*exp ( 1040.0/t )
MDIALO2 + HO2 → 0*OH + 0*HO2 + 0*CH3COCHO + 0*CO + 0*CH3O2 + 0*GLYOXAL                  ; 4.3001E-13*exp ( 1040.0/t )
MEK + OH → MEKO2                                                                        ; 2.30005E-12*exp ( -170.0/t )
MEKO2 + HO2 → 0.8*MEKOOH + 0*OH + 0*CH3CHO + 0*CH3CO3                                   ; 7.50018E-13*exp ( 700.0/t )
MEKOOH + OH → MEKO2                                                                     ; 3.80009E-12*exp ( 200.0/t )
MTERPO2VBS + HO2 → HO2 + 0*SOAG0 + 0*SOAG1 + 0*SOAG2 + 0*SOAG3 + 0*SOAG4                ; 2.60006E-13*exp ( 1300.0/t )
NH3 + OH → H2O                                                                          ; 1.70004E-12*exp ( -710.0/t )
NO + HO2 → NO2 + OH                                                                     ; 3.44008E-12*exp ( 260.0/t )
NO2 + HO2 → HO2NO2                                                                      ; ko=1.14423E-13(300.0/T)**3.4, ki=4.00009E-12(300.0/T)**0.3, f=0.60
NO3 + HO2 → OH + NO2 + O2                                                               ; 3.50008E-12
